,vehicle_speed,throttle_percentage,acc_calculated
0,4.1133,0.1,1.171166667
1,4.31358,0.1,1.060777778
2,4.49518,0.1,0.960888889
3,4.6595,0.1,0.864333333
4,4.80634,0.1,0.776972222
5,4.93921,0.1,0.694805556
6,5.05647,0.1,0.620444444
7,5.16257,0.1,0.553166667
8,5.25561,0.1,0.492277778
9,5.33979,0.1,0.445444444
10,5.41597,0.1,0.393805556
11,5.48156,0.1,0.347055556
12,5.54091,0.1,0.305777778
13,5.59164,0.1,0.268444444
14,5.63755,0.1,0.236722222
15,5.67686,0.1,0.208
16,5.71243,0.1,0.185111111
17,5.7435,0.1,0.164388889
18,5.77161,0.1,0.147722222
19,5.79668,0.1,0.132666667
20,5.81937,0.1,0.120027778
21,5.83989,0.1,0.109638889
22,5.85884,0.1,0.10025
23,5.87598,0.1,0.09175
24,5.89187,0.1,0.084055556
25,5.90624,0.1,0.077083333
26,5.91962,0.1,0.070777778
27,5.93172,0.1,0.064055556
28,5.94268,0.1,0.057972222
29,5.95259,0.1,0.052444444
30,5.96156,0.1,0.0485
31,5.97005,0.1,0.044916667
32,5.97773,0.1,0.041666667
33,5.98505,0.1,0.038722222
34,5.99167,0.1,0.035055556
35,5.99767,0.1,0.031722222
36,6.00309,0.1,0.029722222
37,6.00837,0.1,0.027944444
38,6.01315,0.1,0.025277778
39,6.01747,0.1,0.022861111
40,6.02138,0.1,0.020694444
41,6.02492,0.1,0.018722222
42,6.02812,0.1,0.016944444
43,6.03102,0.1,0.016388889
44,6.03402,0.1,0.015861111
45,6.03673,0.1,0.014333333
46,6.03918,0.1,0.012972222
47,6.0414,0.1,0.012777778
48,6.04378,0.1,0.012583333
49,6.04593,0.1,0.011388889
50,6.04788,0.1,0.010305556
51,6.04964,0.1,0.009305556
52,6.05123,0.1,0.009472222
53,6.05305,0.1,0.009611111
54,6.05469,0.1,0.008694444
55,6.05618,0.1,0.007861111
56,6.05752,0.1,0.008138889
57,6.05911,0.1,0.008416667
58,6.06055,0.1,0.007611111
59,6.06185,0.1,0.006861111
60,6.06302,0.1,0.006222222
61,6.06409,0.1,0.006666667
62,6.06542,0.1,0.007055556
63,6.06663,0.1,0.006416667
64,6.06773,0.1,0.005805556
65,6.06872,0.1,0.00625
66,6.06998,0.1,0.006694444
67,6.07113,0.1,0.006083333
68,6.07217,0.1,0.005472222
69,6.0731,0.1,0.004944444
70,6.07395,0.1,0.005527778
71,6.07509,0.1,0.006027778
72,6.07612,0.1,0.005472222
73,6.07706,0.1,0.004944444
74,6.0779,0.1,0.004472222
75,6.07867,0.1,0.004055556
76,6.07936,0.1,0.004694444
77,6.08036,0.1,0.005277778
78,6.08126,0.1,0.004777778
79,6.08208,0.1,0.004305556
80,6.08281,0.1,0.003888889
81,6.08348,0.1,0.004583333
82,6.08446,0.1,0.005166667
83,6.08534,0.1,0.004666667
84,6.08614,0.1,0.00425
85,6.08687,0.1,0.003833333
86,6.08752,0.1,0.0045
87,6.08849,0.1,0.005111111
88,6.08936,0.1,0.004611111
89,6.09015,0.1,0.004166667
90,6.09086,0.1,0.003777778
91,6.09151,0.1,0.003416667
92,6.09209,0.1,0.004111111
93,6.09299,0.1,0.004777778
94,6.09381,0.1,0.004333333
95,6.09455,0.1,0.003888889
96,6.09521,0.1,0.003527778
97,6.09582,0.1,0.00425
98,6.09674,0.1,0.004861111
99,6.09757,0.1,0.004388889
100,6.09832,0.1,0.003972222
101,6.099,0.1,0.003583333
102,6.09961,0.1,0.00325
103,6.10017,0.1,0.004
104,6.10105,0.1,0.004638889
105,6.10184,0.1,0.004194444
106,6.10256,0.1,0.003777778
107,6.1032,0.1,0.003416667
108,6.10379,0.1,0.004138889
109,6.10469,0.1,0.004777778
110,6.10551,0.1,0.004333333
111,6.10625,0.1,0.003916667
112,6.10692,0.1,0.003527778
113,6.10752,0.1,0.003194444
114,6.10807,0.1,0.003944444
115,6.10894,0.1,0.004583333
116,6.10972,0.1,0.004138889
117,6.11043,0.1,0.003777778
118,6.11108,0.1,0.003416667
119,6.11166,0.1,0.003055556
120,6.11218,0.1,0.002777778
121,6.11266,0.1,0.003555556
122,6.11346,0.1,0.00425
123,6.11419,0.1,0.003833333
124,6.11484,0.1,0.003472222
125,6.11544,0.1,0.003166667
126,6.11598,0.1,0.003888889
127,6.11684,0.1,0.004527778
128,6.11761,0.1,0.004111111
129,6.11832,0.1,0.003722222
130,6.11895,0.1,0.003361111
131,6.11953,0.1,0.003055556
132,6.12005,0.1,0.003777778
133,6.12089,0.1,0.004444444
134,6.12165,0.1,0.004027778
135,6.12234,0.1,0.003666667
136,6.12297,0.1,0.003305556
137,6.12353,0.1,0.002972222
138,6.12404,0.1,0.002722222
139,6.12451,0.1,0.0035
140,6.1253,0.1,0.004166667
141,6.12601,0.1,0.003777778
142,6.12666,0.1,0.003416667
143,6.12724,0.1,0.003083333
144,6.12777,0.1,0.002805556
145,6.12825,0.1,0.002555556
146,6.12869,0.1,0.003333333
147,6.12945,0.1,0.004027778
148,6.13014,0.1,0.003666667
149,6.13077,0.1,0.003305556
150,6.13133,0.1,0.003
151,6.13185,0.1,0.002722222
152,6.13231,0.1,0.002444444
153,6.13273,0.1,0.00325
154,6.13348,0.1,0.003972222
155,6.13416,0.1,0.003583333
156,6.13477,0.1,0.00325
157,6.13533,0.1,0.002944444
158,6.13583,0.1,0.002666667
159,6.13629,0.1,0.002416667
160,6.1367,0.1,0.002194444
161,6.13708,0.1,0.003
162,6.13778,0.1,0.00375
163,6.13843,0.1,0.003416667
164,6.13901,0.1,0.003055556
165,6.13953,0.1,0.002777778
166,6.14001,0.1,0.002527778
167,6.14044,0.1,0.002277778
168,6.14083,0.1,0.003083333
169,6.14155,0.1,0.003833333
170,6.14221,0.1,0.003472222
171,6.1428,0.1,0.003138889
172,6.14334,0.1,0.002833333
173,6.14382,0.1,0.002555556
174,6.14426,0.1,0.002333333
175,6.14466,0.1,0.003138889
176,6.14539,0.1,0.003861111
